2025-12-06 23:34:42 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:42] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:43 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:43 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:43] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:43 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:43] "OPTIONS /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:43 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:43 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:43] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:43 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:43 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:43] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:44 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:44 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:44] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:45 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:45 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:45] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:45 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:45 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:45] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:46 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:46 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:46] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:46 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:46 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:46] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:47 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:47 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:47] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:47 | root       | INFO     |app.py:57 | Translate successfully
2025-12-06 23:34:47 | werkzeug   | INFO     |_internal.py:97 | 127.0.0.1 - - [06/Dec/2025 23:34:47] "POST /api/input-text HTTP/1.1" 200 -
2025-12-06 23:34:48 | root       | INFO     |app.py:57 | Translate successfully
